#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
76,Bidar,7,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1740232,1117167,64.3,116834.00,10.5
77,Dhule,2,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,1787801,1085038,60.8,229243.00,21.1
78,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,1470521,1129955,77.7,158377.00,14
79,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1460895,1059490,73,121201.00,11.4
80,Yavatmal-Washi,14,GEN,Maharashtra,Bhavana Pundlikrao Gawali,Shiv Sena,1812059,1174220,65,117939.00,10
81,Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1759305,1123629,64.2,290057.00,25.8
82,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Bholanath (B.P. Saroj),Bharatiya Janta Party,1777073,1034925,58.9,181.00,0
83,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1658549,1144226,69.3,302090.00,26.4
84,Mayurbhanj,5,ST,Orissa,Bishweswar Tudu,Bharatiya Janta Party,1437970,1150357,81.5,25256.00,2.2
85,Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brijbhusan Sharan Singh,Bharatiya Janta Party,1779143,981400,55.9,261601.00,26.7
86,Hisar,4,GEN,Haryana,Brijendra Singh,Bharatiya Janta Party,1558281,1179869,75.9,314068.00,26.6
87,Mizoram,1,ST,Mizoram,C Lalrosanga,Mizo National Front,725057,499621,69.3,8140.00,1.6
88,Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1904607,1308018,69.2,689668.00,52.7
89,Nawada,39,GEN,Bihar [2000 Onwards],Chandan Singh,Lok Jan Shakti Party,1892017,942462,51.7,148072.00,15.7
90,Jahanabad,36,GEN,Bihar [2000 Onwards],Chandeshwar Prasad,Janata Dal (United),1573907,822065,54,1751.00,0.2
91,Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,All Jharkhand Students Union,1625806,1106918,69.3,248347.00,22.4
